DADOS,,,,,,,,,,,,,
Titulo,Projeto 3 - Je2,,,,,,,,,,,,
Tipologia,Sobrado,,,,,,,,,,,,
Área Terreno,"500,00",,,,,,,,,,,,
Área Construída,"425,00",,,,,,,,,,,,
Área Fundação,"378,31",,,,,,,,,,,,
Área Fachada,"521,67",,,,,,,,,,,,
Área Parede,"581,76",,,,,,,,,,,,
Qtde BWCs,"6,00",,,,,,,,,,,,
,,,,,,,,,,,,,
TABELA DE ORÇAMENTO,,,,,,,,,,,,,
Item,Referência,Tipo,Código,Descrição,Unid.,Quantidade,BDI,Preço Material,,Preço Execução,,Preço,
12.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-CCL-ACR,PINTURA ACRILICA FOSCA; CINZA CLARO,M2,"492,1","0,0%"," R$  11,37 "," R$  5.595,45 "," R$  25,00 "," R$  12.302,50 "," R$  36,37 "," R$  17.897,95 "
12.2.,,,,PINTURAS EXTERNAS,,,"0,0%",," R$  3.945,42 ",," R$  12.325,32 ",," R$  16.270,74 "
12.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-MCL-TXT-PRJ,TEXTURA PROJETADA COR MARROM CLARO,M2,"20,42","0,0%"," R$  8,96 "," R$  183,02 "," R$  28,00 "," R$  571,76 "," R$  36,96 "," R$  754,78 "
12.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CCL-TXT-PRJ,TEXTURA PROJETADA COR CINZA CLARO,M2,"310,85","0,0%"," R$  8,96 "," R$  2.786,15 "," R$  28,00 "," R$  8.703,80 "," R$  36,96 "," R$  11.489,95 "
12.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-MES-TXT-PRJ,TEXTURA PROJETADA COR MARROM ESCURO,M2,"5,15","0,0%"," R$  8,96 "," R$  46,16 "," R$  28,00 "," R$  144,20 "," R$  36,96 "," R$  190,36 "
12.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-MCL-TXT-PRJ,TEXTURA PROJETADA COR MARROM CLARO,M2,"31,32","0,0%"," R$  8,96 "," R$  280,72 "," R$  28,00 "," R$  876,96 "," R$  36,96 "," R$  1.157,68 "
12.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-MES-TXT-PRJ,TEXTURA PROJETADA COR MARROM ESCURO,M2,"72,45","0,0%"," R$  8,96 "," R$  649,37 "," R$  28,00 "," R$  2.028,60 "," R$  36,96 "," R$  2.677,97 "
13.,,,,INSTALACOES COMPLEMENTARES,,,"0,0%",," R$  145.506,60 ",," R$  3.423,00 ",," R$  148.929,60 "
13.1.,,,,INSTALACOES DE GAS,,,"0,0%",," R$  2.100,00 ",," R$  2.550,00 ",," R$  4.650,00 "
13.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_GAS-ABG,TUBULACAO DE GAS E ABRIGO,UN,3,"0,0%"," R$  700,00 "," R$  2.100,00 "," R$  850,00 "," R$  2.550,00 "," R$  1.550,00 "," R$  4.650,00 "
13.2.,,,,GUARDA CORPO E CORRIMAOS,,,"0,0%",," R$  46.145,00 ",,,," R$  46.145,00 "
13.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ICP-GDC-VDR-TOR,GUARDA CORPO VIDRO ,ML,"41,95","0,0%"," R$  1.100,00 "," R$  46.145,00 ",,," R$  1.100,00 "," R$  46.145,00 "
13.3.,,,,CHURRASQUEIRA E BANCADA,,,"0,0%",," R$  4.535,00 ",,,," R$  4.535,00 "
13.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ICP-CHR-PMC-065X055,CHURRASQUEIRA PRE MOLDADA DE CONCRETO,UN,1,"0,0%"," R$  4.535,00 "," R$  4.535,00 ",,," R$  4.535,00 "," R$  4.535,00 "
13.4.,,,,ELEMENTOS DECORATIVOS,,,"0,0%",," R$  1.067,00 ",," R$  873,00 ",," R$  1.940,00 "
13.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ACB-INT-PRT-GNT-CLR,PRATELEIRA DE BOX EM GRANITO DE TONALIDADE CLARA,ML,"19,4","0,0%"," R$  55,00 "," R$  1.067,00 "," R$  45,00 "," R$  873,00 "," R$  100,00 "," R$  1.940,00 "
13.5.,,,,PISCINA,,,"0,0%",," R$  91.659,60 ",,,," R$  91.659,60 "
13.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ICP-PSC-160-GRD,"PISCINA GRANDE H1,60 EM CONCRETO ARMADO IMPERMEABILIZADA COM PASTILHAS SEM EQUIPAMENTOS",M2,"37,26","0,0%"," R$  2.460,00 "," R$  91.659,60 ",,," R$  2.460,00 "," R$  91.659,60 "
14.,,,,"LIMPEZA, ACABAMENTOS E FINALIZACOES",,,"0,0%",," R$  25.286,08 ",," R$  17.863,05 ",," R$  43.149,13 "
14.1.,,,,CALCADAS INTERNAS,,,"0,0%",," R$  21.749,77 ",," R$  9.721,60 ",," R$  31.471,37 "
14.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-INT-CCG,CALCADA INTERNA DE CONCREGRAMA,M2,"15,85","0,0%"," R$  191,13 "," R$  3.029,33 "," R$  35,00 "," R$  554,75 "," R$  226,13 "," R$  3.584,08 "
14.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-INT-VAS,CALCADA INTERNA DE CONCRETO VASSOURADO,M2,"16,94","0,0%"," R$  46,63 "," R$  789,95 "," R$  30,00 "," R$  508,20 "," R$  76,63 "," R$  1.298,15 "
14.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-INT-DEC-MAD,CALCADA EM DECK DE MADEIRA,M2,"44,98","0,0%"," R$  398,63 "," R$  17.930,49 "," R$  192,50 "," R$  8.658,65 "," R$  591,13 "," R$  26.589,14 "
14.2.,,,,CALCADAS EXTERNAS,,,"0,0%",," R$  1.860,40 ",," R$  1.241,45 ",," R$  3.101,85 "
14.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-EXT-PAV,CALCADA DE BLOCO INTERTRAVADO PAVER,M2,"35,47","0,0%"," R$  52,45 "," R$  1.860,40 "," R$  35,00 "," R$  1.241,45 "," R$  87,45 "," R$  3.101,85 "
14.3.,,,,PAISAGISMO,,,"0,0%",," R$  1.675,91 ",,,," R$  1.675,91 "
14.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ACB-GRM-ESM,GRAMA ESMERALDA,M2,"101,57","0,0%"," R$  16,50 "," R$  1.675,91 ",,," R$  16,50 "," R$  1.675,91 "
14.4.,,,,LIMPEZA FINAL DE OBRA,,,"0,0%",,,," R$  6.900,00 ",," R$  6.900,00 "
14.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_LAF-LPZ-FNL-OBR,LIMPEZA FINAL DE OBRA,M2,600,"0,0%",,," R$  11,50 "," R$  6.900,00 "," R$  11,50 "," R$  6.900,00 "
15.,,,,FINALIZACAO DA OBRA,,,"11,6%",,,," R$  1,12 ",," R$  1,12 "
15.1.,,,,FINALIZACAO OBRA,,,"11,6%",,,," R$  1,12 ",," R$  1,12 "
15.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_FNO-FOR-ENT,"FORMALIZACAO DA ENTREGA VISTORIA, ACEITE",VB,1,"11,6%",,," R$  1,12 "," R$  1,12 "," R$  1,12 "," R$  1,12 "
16.,,,,FORMALIZACAO DA ENTREGA,,,"0,0%",,,," R$  912,85 ",," R$  912,85 "
16.1.,,,,HABITE-SE E AVERBACAO,,,"0,0%",,,," R$  912,85 ",," R$  912,85 "
16.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-AVR,TAXA AVERBACAO,VB,1,"0,0%",,," R$  502,85 "," R$  502,85 "," R$  502,85 "," R$  502,85 "
16.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-HBT,TAXA HABITE-SE PREFEITURA,VB,1,"0,0%",,," R$  150,00 "," R$  150,00 "," R$  150,00 "," R$  150,00 "
16.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-VCA,TAXA VISTORIA CONCESSIONARIA DE AGUA,VB,1,"0,0%",,," R$  260,00 "," R$  260,00 "," R$  260,00 "," R$  260,00 "
