DADOS,,,,,,,,,,,,,
Titulo,Projeto 2 - Ca,,,,,,,,,,,,
Tipologia,Sobrado,,,,,,,,,,,,
Área Terreno,"300,00",,,,,,,,,,,,
Área Construída,"249,24",,,,,,,,,,,,
Área Fundação,"161,55",,,,,,,,,,,,
Área Fachada,"747,17",,,,,,,,,,,,
Área Parede,"662,06",,,,,,,,,,,,
Qtde BWCs,"4,00",,,,,,,,,,,,
,,,,,,,,,,,,,
TABELA DE ORÇAMENTO,,,,,,,,,,,,,
Item,Referência,Tipo,Código,Descrição,Unid.,Quantidade,BDI,Preço Material,,Preço Execução,,Preço,
11.1.7,MKS_COMPOSICOES,COMPOSICAO,CMP_PAP-AB-25-MI-090X214,PORTA EM ALUMINIO PRETO E VIDRO UMA FOLHA DE ABRIR - 90 X 214,UN,2,"0,0%"," R$  1.400,00 "," R$  2.800,00 ",,," R$  1.400,00 "," R$  2.800,00 "
11.2.,,,,ESQUADRIAS DE MADEIRA,,,"0,0%",," R$  12.788,64 ",," R$  1.970,00 ",," R$  14.758,64 "
11.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-070X210-BRC-COR-CPR,PORTA DE CORRER DE MADEIRA SEMI-OCA; 70X210CM; BRANCA; COM PROTECAO CONTRA UMIDADE,UN,2,"0,0%",,," R$  85,00 "," R$  170,00 "," R$  85,00 "," R$  170,00 "
11.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-070X210-BRC-SMO-CPR,PORTA INTERNA DE MADEIRA SEMI-OCA; 70X210CM; BRANCA; COM PROTECAO CONTRA UMIDADE,UN,4,"0,0%"," R$  809,42 "," R$  3.237,68 "," R$  150,00 "," R$  600,00 "," R$  959,42 "," R$  3.837,68 "
11.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-080X210-BRC-SMO,PORTA INTERNA DE MADEIRA SEMI-OCA; 80X210CM; BRANCA,UN,6,"0,0%"," R$  834,42 "," R$  5.006,52 "," R$  150,00 "," R$  900,00 "," R$  984,42 "," R$  5.906,52 "
11.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-080X210-BRC-MMC-CFR,PORTA EXTERNA DE MADEIRA MACICA; 80X210CM; BRANCA,UN,1,"0,0%"," R$  2.134,72 "," R$  2.134,72 "," R$  150,00 "," R$  150,00 "," R$  2.284,72 "," R$  2.284,72 "
11.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-090X210-BRC-MMC-CFR-CKP,PORTA EXTERNA DE MADEIRA MACICA; 90X210CM; BRANCA; COM FRISOS; COM KIT PUXADOR,UN,1,"0,0%"," R$  2.409,72 "," R$  2.409,72 "," R$  150,00 "," R$  150,00 "," R$  2.559,72 "," R$  2.559,72 "
12.,,,,PINTURAS,,,"0,0%",," R$  13.365,53 ",," R$  36.069,84 ",," R$  49.435,37 "
12.1.,,,,PINTURAS INTERNAS,,,"0,0%",," R$  6.893,97 ",," R$  15.853,00 ",," R$  22.746,97 "
12.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-BRC-ACR,PINTURA ACRILICA FOSCA; BRANCO NEVE,M2,"225,37","0,0%"," R$  9,99 "," R$  2.250,67 "," R$  25,00 "," R$  5.634,25 "," R$  34,99 "," R$  7.884,92 "
12.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-BRC-ACR,PINTURA ACRILICA FOSCA; BRANCO NEVE,M2,"3,19","0,0%"," R$  9,99 "," R$  31,86 "," R$  25,00 "," R$  79,75 "," R$  34,99 "," R$  111,61 "
12.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-CCL-ACR,PINTURA ACRILICA FOSCA; CINZA CLARO,M2,"405,56","0,0%"," R$  11,37 "," R$  4.611,44 "," R$  25,00 "," R$  10.139,00 "," R$  36,37 "," R$  14.750,44 "
12.2.,,,,PINTURAS EXTERNAS,,,"0,0%",," R$  6.471,55 ",," R$  20.216,84 ",," R$  26.688,39 "
12.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CCL-TXT-PRJ,TEXTURA PROJETADA COR CINZA CLARO,M2,"3,93","0,0%"," R$  8,96 "," R$  35,22 "," R$  28,00 "," R$  110,04 "," R$  36,96 "," R$  145,26 "
12.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CCL-TXT-PRJ,TEXTURA PROJETADA COR CINZA CLARO,M2,"617,89","0,0%"," R$  8,96 "," R$  5.538,15 "," R$  28,00 "," R$  17.300,92 "," R$  36,96 "," R$  22.839,07 "
12.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CES-TXT-PRJ,TEXTURA PROJETADA COR CINZA ESCURO,M2,"3,16","0,0%"," R$  8,96 "," R$  28,32 "," R$  28,00 "," R$  88,48 "," R$  36,96 "," R$  116,80 "
12.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CCL-TXT-PRJ,TEXTURA PROJETADA COR CINZA CLARO,M2,"1,26","0,0%"," R$  8,96 "," R$  11,29 "," R$  28,00 "," R$  35,28 "," R$  36,96 "," R$  46,57 "
12.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CMD-TXT-PRJ,TEXTURA PROJETADA COR CINZA MEDIO,M2,"26,4","0,0%"," R$  8,96 "," R$  236,62 "," R$  28,00 "," R$  739,20 "," R$  36,96 "," R$  975,82 "
12.2.6,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-EXT-CES-TXT-PRJ,TEXTURA PROJETADA COR CINZA ESCURO,M2,"69,39","0,0%"," R$  8,96 "," R$  621,94 "," R$  28,00 "," R$  1.942,92 "," R$  36,96 "," R$  2.564,86 "
13.,,,,INSTALACOES COMPLEMENTARES,,,"0,0%",," R$  26.189,50 ",," R$  2.125,00 ",," R$  28.314,50 "
13.1.,,,,INSTALACOES DE GAS,,,"0,0%",," R$  1.750,00 ",," R$  2.125,00 ",," R$  3.875,00 "
13.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_GAS-ABG,TUBULACAO DE GAS E ABRIGO,UN,"2,5","0,0%"," R$  700,00 "," R$  1.750,00 "," R$  850,00 "," R$  2.125,00 "," R$  1.550,00 "," R$  3.875,00 "
13.2.,,,,CHURRASQUEIRA E BANCADA,,,"0,0%",," R$  4.535,00 ",,,," R$  4.535,00 "
13.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ICP-CHR-PMC-065X055,CHURRASQUEIRA PRE MOLDADA DE CONCRETO,UN,1,"0,0%"," R$  4.535,00 "," R$  4.535,00 ",,," R$  4.535,00 "," R$  4.535,00 "
13.3.,,,,GUARDA CORPO E CORRIMAOS,,,"0,0%",," R$  19.904,50 ",,,," R$  19.904,50 "
13.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ICP-GDC-INO,GUARDA CORPO INOX 110CM,ML,"10,34","0,0%"," R$  1.925,00 "," R$  19.904,50 ",,," R$  1.925,00 "," R$  19.904,50 "
14.,,,,"LIMPEZA, ACABAMENTOS E FINALIZACOES",,,"0,0%",," R$  10.011,87 ",," R$  4.942,80 ",," R$  14.954,67 "
14.1.,,,,CALCADAS INTERNAS,,,"0,0%",," R$  7.283,77 ",," R$  1.333,85 ",," R$  8.617,62 "
14.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-INT-CCG,CALCADA INTERNA DE CONCREGRAMA,M2,"38,11","0,0%"," R$  191,13 "," R$  7.283,77 "," R$  35,00 "," R$  1.333,85 "," R$  226,13 "," R$  8.617,62 "
14.2.,,,,CALCADAS EXTERNAS,,,"0,0%",," R$  1.099,88 ",," R$  733,95 ",," R$  1.833,83 "
14.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CAL-EXT-PAV,CALCADA DE BLOCO INTERTRAVADO PAVER,M2,"20,97","0,0%"," R$  52,45 "," R$  1.099,88 "," R$  35,00 "," R$  733,95 "," R$  87,45 "," R$  1.833,83 "
14.3.,,,,PAISAGISMO,,,"0,0%",," R$  1.628,22 ",,,," R$  1.628,22 "
14.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ACB-GRM-ESM,GRAMA ESMERALDA,M2,"98,68","0,0%"," R$  16,50 "," R$  1.628,22 ",,," R$  16,50 "," R$  1.628,22 "
14.4.,,,,LIMPEZA FINAL DE OBRA,,,"0,0%",,,," R$  2.875,00 ",," R$  2.875,00 "
14.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_LAF-LPZ-FNL-OBR,LIMPEZA FINAL DE OBRA,M2,250,"0,0%",,," R$  11,50 "," R$  2.875,00 "," R$  11,50 "," R$  2.875,00 "
15.,,,,FINALIZACAO DA OBRA,,,"11,6%",,,," R$  1,12 ",," R$  1,12 "
15.1.,,,,FINALIZACAO OBRA,,,"11,6%",,,," R$  1,12 ",," R$  1,12 "
15.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_FNO-FOR-ENT,"FORMALIZACAO DA ENTREGA VISTORIA, ACEITE",VB,1,"11,6%",,," R$  1,12 "," R$  1,12 "," R$  1,12 "," R$  1,12 "
16.,,,,FORMALIZACAO DA ENTREGA,,,"0,0%",,,," R$  912,85 ",," R$  912,85 "
16.1.,,,,HABITE-SE E AVERBACAO,,,"0,0%",,,," R$  912,85 ",," R$  912,85 "
16.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-AVR,TAXA AVERBACAO,VB,1,"0,0%",,," R$  502,85 "," R$  502,85 "," R$  502,85 "," R$  502,85 "
16.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-HBT,TAXA HABITE-SE PREFEITURA,VB,1,"0,0%",,," R$  150,00 "," R$  150,00 "," R$  150,00 "," R$  150,00 "
16.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-VCA,TAXA VISTORIA CONCESSIONARIA DE AGUA,VB,1,"0,0%",,," R$  260,00 "," R$  260,00 "," R$  260,00 "," R$  260,00 "
